职位名称,公司名称,职位月薪,工作经验
催收管理岗,平安普惠企业管理有限公司浙江分公司,5300-7000,不限
委外管理岗（有抵）,平安普惠企业管理有限公司浙江分公司,6001-8000,不限
客户经理,兴业银行股份有限公司杭州清泰支行,4001-6000,1-3年
外访专员,青岛联信商务咨询有限公司杭州分公司,6001-8000,不限
大数据开发岗,浙江稠州商业银行股份有限公司,8000-15000,1-3年
风险系统开发岗,浙江稠州商业银行股份有限公司,8000-15000,1-3年
催收专员,上海友而信市场信息咨询有限公司杭州第二分公司,6000-8000,不限
互联网开发岗,浙江稠州商业银行股份有限公司,8000-15000,1-3年
管理系统开发岗,浙江稠州商业银行股份有限公司,8000-15000,1-3年
项目管理岗,浙江稠州商业银行股份有限公司,8000-15000,3-5年
高级理财经理,北京恒天明泽基金销售有限公司杭州分公司,10001-15000,3-5年
报表统计员,金华银行股份有限公司杭州分行,6001-8000,1-3年
信贷/小贷/企业贷主管,杭州冰川投资管理有限公司,8000-16000,3-5年
